Commit SHA,File Name,Old Function Signature,New Function Signature
1cad54f7b15974fb415a7ac5b63621a7460e3862,JsonPrintFormatter.java,private void addCommaCheckingFirst(),"private void addCommaCheckingFirst(Map<Integer, Boolean> first)"
2b9fd47b720f0743d69dfcc48bc04b471e37d240,GsonBuilder.java,"private static void addTypeAdaptersForDate(String datePattern, int dateStyle, ParameterizedTypeHandlerMap<JsonSerializer<?>> serializers, ParameterizedTypeHandlerMap<JsonDeserializer<?>> deserializers)","private static void addTypeAdaptersForDate(String datePattern, int dateStyle, int timeStyle, ParameterizedTypeHandlerMap<JsonSerializer<?>> serializers, ParameterizedTypeHandlerMap<JsonDeserializer<?>> deserializers)"
6d50bcea8711642c90caa6db6b1f13ccd38290c1,Gson.java,private ObjectNavigatorFactory createDefaultObjectNavigatorFactory(),private ObjectNavigatorFactory createDefaultObjectNavigatorFactory(ExclusionStrategy strategy)
50eb582657b5a07aa4aec22f11c9f3071eb631a8,JsonArray.java,protected void toString(Appendable sb) throws IOException,"protected void toString(Appendable sb, Escaper escaper) throws IOException"
50eb582657b5a07aa4aec22f11c9f3071eb631a8,JsonElement.java,protected abstract void toString(Appendable sb) throws IOException,"protected abstract void toString(Appendable sb, Escaper escaper) throws IOException"
50eb582657b5a07aa4aec22f11c9f3071eb631a8,JsonNull.java,protected void toString(Appendable sb) throws IOException,"protected void toString(Appendable sb, Escaper escaper) throws IOException"
50eb582657b5a07aa4aec22f11c9f3071eb631a8,JsonObject.java,protected void toString(Appendable sb) throws IOException,"protected void toString(Appendable sb, Escaper escaper) throws IOException"
50eb582657b5a07aa4aec22f11c9f3071eb631a8,JsonPrimitive.java,protected void toString(Appendable sb) throws IOException,"protected void toString(Appendable sb, Escaper escaper) throws IOException"
77c2c29316dd1d8fc7ea608dd6f67585bb6b006c,JsonPrintFormatter.java,private void addCommaCheckingFirst() throws IOException,private void addCommaCheckingFirst(boolean first) throws IOException
e4e925403413601f092f1c8830d722e17f41d178,WebServiceClient.java,private URL getWebServiceUrl(),private URL getWebServiceUrl(WebServiceCallSpec callSpec)
e4e925403413601f092f1c8830d722e17f41d178,WebServiceClient.java,public WebServiceResponse getResponse(WebServiceRequest request),"public WebServiceResponse getResponse(WebServiceCallSpec callSpec, WebServiceRequest request)"
a7e3971fddc7512fb1bd00aa2ea4388664656b2b,Streams.java,"static void copy(String str, OutputStream dst) throws IOException","static void copy(String str, OutputStream dst, boolean closeOutput) throws IOException"
