Commit SHA,File Name,Old Function Signature,New Function Signature
4f318d2d5b0fbc3c2a11f05be46427a495cfcf9d,Headers.java,public void setOn(HttpMessage message),"public void setOn(HttpMessage message, String mimeType)"
b40e91c8e998549d1f18df8843d7e9286947b92e,GsonResponseHandler.java,"static GsonResponseHandler<T> create(Type type, Callback<T> callback)","static GsonResponseHandler<T> create(Gson gson, Type type, Callback<T> callback)"
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,Callback.java,void clientError(T response),"void clientError(T response, int statusCode)"
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,Callback.java,void serverError(String message),"void serverError(String message, int statusCode)"
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,HttpRequestBuilderTest.java,public void clientError(SimpleResponse response),"public void clientError(SimpleResponse response, int statusCode)"
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,HttpRequestBuilderTest.java,public void serverError(String message),"public void serverError(String message, int statusCode)"
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,RestAdapterTest.java,private void expectResponseCalls(String jsonToReturn) throws UnsupportedEncodingException,"private void expectResponseCalls(String jsonToReturn, int statusCode) throws UnsupportedEncodingException"
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,UiCallback.java,public void clientError(final T response),"public void clientError(final T response, final int statusCode)"
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,UiCallback.java,public void serverError(final String message),"public void serverError(final String message, final int statusCode)"
44e7c9c686e7744ca9aef50bc6cb2e50b8346ed5,GsonResponseHandler.java,"static GsonResponseHandler<T> create(Gson gson, Type type, Callback<T> callback)","static GsonResponseHandler<T> create(Gson gson, Type type, Callback<T> callback, String url, String startTime)"
44e7c9c686e7744ca9aef50bc6cb2e50b8346ed5,HttpClients.java,public static HttpEntity copyAndLog(HttpEntity entity) throws IOException,"public static HttpEntity copyAndLog(HttpEntity entity, String url, String startTime) throws IOException"
44e7c9c686e7744ca9aef50bc6cb2e50b8346ed5,RestAdapter.java,"private void backgroundInvoke(HttpUriRequest request, ResponseHandler<Void> rh, UiCallback<?> callback)","private void backgroundInvoke(HttpUriRequest request, ResponseHandler<Void> rh, UiCallback<?> callback, String url, String startTime)"
44e7c9c686e7744ca9aef50bc6cb2e50b8346ed5,RestAdapter.java,"private ProfilingResponseHandler createProfiler(ResponseHandler<Void> handlerToWrap, HttpProfiler profiler, Method method, String apiUrl)","private ProfilingResponseHandler createProfiler(ResponseHandler<Void> handlerToWrap, HttpProfiler profiler, Method method, String apiUrl, Date start)"
45d024065cd3fa37cb49dc56c49016c0f2a9ffc4,Callback.java,void sessionExpired(),void sessionExpired(ServerError error)
45d024065cd3fa37cb49dc56c49016c0f2a9ffc4,UiCallback.java,public void sessionExpired(),public void sessionExpired(final ServerError error)
45d024065cd3fa37cb49dc56c49016c0f2a9ffc4,HttpRequestBuilderTest.java,public void sessionExpired(),public void sessionExpired(ServerError error)
1aefb9247c240483f09142d0cd7e4da109bd144d,HttpRequestBuilder.java,HttpRequestBuilder setMethod(Method method),"HttpRequestBuilder setMethod(Method method, boolean isSynchronous)"
a10def06d7a3ec75de30fee9c2dfd47837201eba,Callback.java,void success(T t),"void success(Response response, T t)"
8f5138693fb8dba2635995edc236b0b168363f09,RequestBuilderTest.java,"private void addParam(String path, String query, String pair, String part, Object value)","private void addParam(String path, String query, String pair, String part, String header, Object value)"
16bca3e7afe22e6868315f3a6d083464f5b082bf,RequestBuilder.java,"public void addPathParam(String name, String value)","public void addPathParam(String name, String value, Boolean disableUrlEncoding)"
16bca3e7afe22e6868315f3a6d083464f5b082bf,RequestBuilder.java,"public void addQueryParam(String name, String value)","public void addQueryParam(String name, String value, Boolean disableUrlEncoding)"
16bca3e7afe22e6868315f3a6d083464f5b082bf,RequestInterceptor.java,"void addPathParam(String name, String value)","void addPathParam(String name, String value, Boolean disableUrlEncoding)"
16bca3e7afe22e6868315f3a6d083464f5b082bf,RequestInterceptor.java,"void addQueryParam(String name, String value)","void addQueryParam(String name, String value, Boolean disableUrlEncoding)"
1d77c0c9ef977085c071d04fe81271f67d082e7f,RestAdapter.java,"private Object invokeRequest(RestMethodInfo methodDetails, Object[] args)","private Object invokeRequest(RequestInterceptor requestInterceptor, RestMethodInfo methodDetails, Object[] args)"
985355d26bbe7b0760203c8ff53d7f40c1b09593,ApacheClient.java,static Response parseResponse(HttpResponse response) throws IOException,"static Response parseResponse(String url, HttpResponse response) throws IOException"
414f27419e5daffdf6a2e88ef6a122eab983f6ea,RestMethodInfo.java,private void validatePathName(String name),"private void validatePathName(int index, String name)"
61e60c97e6315cc21a97a0470a3bd7f5c7b0d2eb,RestAdapter.java,"Request logAndReplaceRequest(String name, Request request) throws IOException","Request logAndReplaceRequest(String name, Request request, Object[] args) throws IOException"
7039283ab3b688c5af74404be76e7917688179ab,UrlFetchClient.java,static Response parseResponse(HTTPResponse response),"static Response parseResponse(HTTPResponse response, HTTPRequest creatingRequest)"
73db452374ab949c69d60cc66872fa07d751b000,MultipartTypedOutput.java,"private static byte[] buildHeader(String name, TypedOutput value)","private static byte[] buildHeader(String name, String transferEncoding, TypedOutput value)"
e99dcea7483cbd3a4988c4c23f50ac0f7fbd25d7,MockRestAdapter.java,public static MockRestAdapter from(RestAdapter restAdapter),"public static MockRestAdapter from(RestAdapter restAdapter, Executor executor)"
f3cb3e8a10d7d35cbc1ac16024b28be2cdd803f8,JacksonConverter.java,public TypedOutput toBody(Object object),"public TypedOutput toBody(Object object, Type type)"
f3cb3e8a10d7d35cbc1ac16024b28be2cdd803f8,ProtoConverter.java,public TypedOutput toBody(Object object),"public TypedOutput toBody(Object object, Type type)"
f3cb3e8a10d7d35cbc1ac16024b28be2cdd803f8,SimpleXMLConverter.java,public TypedOutput toBody(Object source),"public TypedOutput toBody(Object source, Type type)"
f3cb3e8a10d7d35cbc1ac16024b28be2cdd803f8,WireConverter.java,public TypedOutput toBody(Object object),"public TypedOutput toBody(Object object, Type type)"
f3cb3e8a10d7d35cbc1ac16024b28be2cdd803f8,Converter.java,TypedOutput toBody(Object object),"TypedOutput toBody(Object object, Type type)"
f3cb3e8a10d7d35cbc1ac16024b28be2cdd803f8,GsonConverter.java,public TypedOutput toBody(Object object),"public TypedOutput toBody(Object object, Type type)"
909c8f818fc3037ab346a244bed2e89b82ba3648,RetrofitError.java,"public static RetrofitError unexpectedError(String url, Throwable exception)","public static RetrofitError unexpectedError(String url, Response response, Converter converter, Type successType, Throwable exception)"
763fe1639e3348480214873323caacd00cbd7fa6,MockHttpException.java,Response toResponse(Converter converter),"Response toResponse(Request request, Converter converter)"
763fe1639e3348480214873323caacd00cbd7fa6,RestAdapter.java,public void onFailure(IOException e),"public void onFailure(Request request, IOException e)"
144defa42cb9d5099a0264fcd574e9c0902e7523,Platform.java,CallAdapter.Factory defaultCallAdapterFactory(),CallAdapter.Factory defaultCallAdapterFactory(Executor callbackExecutor)
71b0a9e56a41aec91a8a3990a41bd9b4e60ef66a,RequestFactoryParser.java,"private RuntimeException parameterError(int index, String message, Object... args)","private RuntimeException parameterError(Throwable cause, int index, String message, Object... args)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,RxJavaCallAdapterFactory.java,public CallAdapter<?> get(Type returnType),"public CallAdapter<?> get(Type returnType, Annotation[] annotations)"
